n_neurons,n_cores,conn_prob,firing_rate,T_overhead,T_overhead_sem,overhead_pct,overhead_pct_sem,T_static,T_static_sem,T_stdp,T_stdp_sem,n_spikes_static,n_spikes_stdp,n_connections,spike_divergence,spike_divergence_sem
50,8,0.05,20.0,1.0676997286906964e-05,0.0026447302141715326,0.002601714777051197,1.6766593375680146e-05,0.4103830819998014,0.0016725933339275057,0.4103937589970883,0.0020486652838014,35561.666666666664,35504.333333333336,130.66666666666666,-0.16122987859421042,0.03101078434702344
50,8,0.05,40.0,0.0077133433369454,0.005261652927310245,1.895358670376722,0.02405308824429396,0.40695956166503794,0.0004578181971952623,0.41467290500198334,0.005241697628229747,37402.333333333336,37344.333333333336,125.66666666666667,-0.1550669575577933,0.007034734680461392
50,8,0.1,10.0,0.005590880333329551,0.0010696189284446075,1.374881840876112,0.003586301247122955,0.40664442333218176,0.0006629693870815643,0.4122353036655113,0.00083937848666718,34704.333333333336,34618.0,244.66666666666666,-0.24876252350871386,0.01339331441518787
50,8,0.1,20.0,0.0009889180025007827,0.0028599392544078543,0.24189307157133905,0.0016917652342799236,0.4088244429973808,0.0027152050568157895,0.4098133609998816,0.0008982839408254595,35673.333333333336,35559.666666666664,251.66666666666666,-0.3185929065121804,0.05521268302716705
50,8,0.1,40.0,0.0018720103398663923,0.000620697701357255,0.4586343953620811,0.0006972270945838341,0.4081705076629684,0.0005998195389157466,0.4100425180028348,0.00015963131649235124,37547.333333333336,37398.333333333336,245.66666666666666,-0.39677904370149797,0.04991544794109682
50,8,0.2,10.0,0.010394239657519733,0.006614513769094411,2.548126177931428,0.040358195044702554,0.4079169920053876,0.0016690382151260219,0.41831123166290735,0.00640047684457873,34916.333333333336,34733.333333333336,514.3333333333334,-0.524094540991963,0.02717881518617762
50,8,0.2,20.0,0.006930630004111038,0.0029045256638389584,1.688425301393915,0.01190318544657961,0.41047892366865807,0.002559715642168702,0.4174095536727691,0.001372634388005784,35840.0,35630.333333333336,500.0,-0.5850098362463887,0.014123108563373397
50,8,0.2,40.0,0.004094941997512536,0.0005464857768420016,0.996310059897326,0.0013171150792906062,0.4110108050032674,0.00035322023666221463,0.41510574700077996,0.0004169918089158288,37702.0,37439.333333333336,515.3333333333334,-0.6966600005601876,0.03461203171564053
100,1,0.05,10.0,0.015638734330423176,0.0011252863473115266,2.083558957221276,0.0030666709243169538,0.7505779606678212,0.0003631125745497739,0.7662166949982444,0.0010650908983037798,69456.33333333333,69250.0,500.3333333333333,-0.29706537393334337,0.015115801545842562
100,1,0.05,20.0,0.008504833996994421,0.011323300968855669,1.1230744643854893,0.016792266077271814,0.7572813973335238,0.011305572759839526,0.7657862313305183,0.0006333793517807677,71338.33333333333,71101.33333333333,497.0,-0.33222018246265095,0.022033891912023765
100,1,0.05,40.0,0.02243747766866977,0.0017000622600215505,2.9887950211168763,0.006704865007628276,0.7507198556656173,0.0013952444647478707,0.773157333334287,0.0009713416348226865,75052.0,74797.33333333333,501.6666666666667,-0.33931890311438906,0.009868375599807314
100,1,0.1,10.0,0.036061069671025736,0.0009521419236765315,4.790837865191807,0.00590499080474829,0.7527090393317243,0.0006273182572270915,0.78877010900275,0.0007162723273811509,69822.66666666667,69458.0,1004.6666666666666,-0.5222543920588473,0.030483414078698944
100,1,0.1,20.0,0.03516978299497475,0.001651991836780798,4.663729254279105,0.009989103015512363,0.754112880002746,0.0011618728221502637,0.7892826629977208,0.0011743630503123711,71707.0,71256.0,1004.6666666666666,-0.6289487635229595,0.004923570712099129
100,1,0.1,40.0,0.039584881989867426,0.0016650566976263868,5.233392878419858,0.010995128290419782,0.7563904126727721,0.00047470833981246637,0.7959752946626395,0.0015959529436743993,75438.0,74871.66666666667,1027.6666666666667,-0.7506986003257307,0.04446913822890047
100,1,0.2,10.0,0.06471859768013621,0.00132243660890207,8.534670273437719,0.014876227215374039,0.7583022613252979,0.0013178670759686245,0.8230208590054341,0.00010984058740881916,70556.66666666667,69816.66666666667,1992.0,-1.0487769260327637,0.04257740782608963
100,1,0.2,20.0,0.06507801966411841,0.001986141110699684,8.538553466397573,0.020819892629112408,0.7621667993322868,0.0008343337495011382,0.8272448189964052,0.0018023994302192692,72518.0,71519.33333333333,1950.0,-1.3770753801660807,0.06711958222939934
100,1,0.2,40.0,0.06121812666727544,0.006588544564534359,7.8971762212343535,0.0666848203768043,0.7751900800018726,0.0062792381250194726,0.8364082066691481,0.0019950158014805756,76228.0,75139.0,2009.0,-1.4286066301416183,0.013081547736757492
