n_neurons,n_cores,conn_prob,firing_rate,learning_rule,T_simulate_mean,T_simulate_sem,T_simulate_count,T_setup_mean,T_setup_sem,T_total_mean,T_total_sem,n_connections_mean,n_connections_sem,n_spikes_mean,n_spikes_sem,spike_rate_mean,spike_rate_sem,spike_divergence_pct_mean,spike_divergence_pct_sem
10,8,0.2,10.0,stdp,0.3126343873348863,0.00036854468483479375,3,0.000976958661340177,1.5163395421016758e-05,0.3151802976644831,0.00033283021725281003,21.666666666666668,0.8819171036881971,6920.0,6.557438524302,34.6,0.0327871926215089,-0.057755474357382985,0.10108616188358059
10,8,0.2,20.0,static,0.312771511671599,0.0005684702919932231,3,0.0008813076662287737,1.2187588152157557e-05,0.3152223873282007,0.0005446206569871125,20.333333333333332,0.6666666666666669,7107.666666666667,2.185812841433925,35.538333333333334,0.010929064207170446,,
10,8,0.2,20.0,stdp,0.31218354632922757,0.0004481660265364043,3,0.0010003576705154653,2.2375831307559918e-05,0.3147485036655174,0.0004197031455309466,17.333333333333332,0.33333333333333365,7100.333333333333,6.6416196150571585,35.501666666666665,0.03320809807528757,-0.10320247551256106,0.07098500423448433
10,8,0.2,40.0,static,0.314953836335917,0.0010044221480312737,3,0.0008781973398678625,8.62569277247675e-06,0.3174324020025476,0.0010298366142345533,20.666666666666668,2.3333333333333335,7484.0,7.637626158259733,37.419999999999995,0.03818813079129727,,
10,8,0.2,40.0,stdp,0.31645332666812465,0.0015491461538926577,3,0.0009668876640110587,1.3151323922310404e-05,0.3189959673327394,0.001575001134838028,19.666666666666668,1.3333333333333337,7468.333333333333,2.848001248439133,37.34166666666667,0.014240006242192843,-0.20916023201401948,0.09250471990714744
50,1,0.05,10.0,static,0.43952676533081103,0.0008944979190774675,3,0.0019672729928667345,1.382666782584191e-05,0.4427700689993799,0.0008737965959489254,108.0,2.0,34618.0,3.605551275463989,34.618,0.003605551275463551,,
50,1,0.05,10.0,stdp,0.4456296013280128,0.0019666789305427695,3,0.0025587773270672187,2.086797869941662e-05,0.44938775832997635,0.001993273420794776,124.66666666666667,6.565905201197403,34571.666666666664,9.683892697556571,34.571666666666665,0.009683892697557223,-0.13384530220324029,0.01784449973987201
50,1,0.05,20.0,static,0.43631729266780894,0.0003655530679552727,3,0.002021276998372438,1.9928975141575862e-05,0.439543478001724,0.0003373016732238549,126.33333333333333,2.6666666666666674,35567.666666666664,3.711842908552967,35.56766666666667,0.003711842908554056,,
50,1,0.05,20.0,stdp,0.4478229943391246,0.0038402624162073074,3,0.0025676336663309485,2.0731131577056845e-05,0.4515812623333962,0.003865199274157789,126.0,5.8594652770823155,35503.0,10.969655114602888,35.503,0.010969655114602964,-0.18181189735971737,0.03098243914764223
50,1,0.05,40.0,static,0.4400111143331742,0.0011863992306439903,3,0.002021384672843851,3.516552170240518e-05,0.4433264093337736,0.0012171438531536414,132.0,8.020806277010642,37442.333333333336,6.1191865835614605,37.44233333333333,0.006119186583562855,,
50,1,0.05,40.0,stdp,0.443997549994189,0.0005394945252580666,3,0.0026097463366265097,2.2642698638415777e-05,0.44785935166388907,0.0005253684986631027,125.33333333333333,4.096068575814836,37347.666666666664,6.960204339274194,37.34766666666667,0.006960204339275117,-0.25282965997258533,0.02091575182166987
50,1,0.1,10.0,static,0.43935150367421255,2.1381235956492474e-05,3,0.002053735666171027,2.2521199873113066e-05,0.4426324493348754,2.2519908477107685e-05,240.66666666666666,3.1797973380564835,34715.666666666664,1.8559214542768918,34.715666666666664,0.0018559214542769214,,
50,1,0.1,10.0,stdp,0.448504431003433,0.00041827446602531567,3,0.0027299796687051034,1.9637204285095352e-05,0.4525040173321031,0.0003765770114719917,254.66666666666666,2.3333333333333353,34616.666666666664,4.096068575814268,34.61666666666667,0.004096068575816902,-0.285173261565836,0.012982557142095886
50,1,0.1,20.0,static,0.4397387213345307,0.0007177898845234277,3,0.0021811749999566623,3.446831416254211e-05,0.4432518753358939,0.0008049503842813828,255.0,4.932882862316247,35662.0,18.502252115170556,35.662,0.018502252115168878,,
50,1,0.1,20.0,stdp,0.45491282000148203,0.006458288356226788,3,0.0027997210030055917,2.2737522023050525e-05,0.4590317756713678,0.006459357939228204,258.6666666666667,9.279607271383373,35561.333333333336,12.238373167123319,35.56133333333333,0.01223837316712571,-0.28222087151486286,0.06626255752824387
50,1,0.1,40.0,static,0.441505833339761,0.0008772377932992335,3,0.002183632333374893,1.4063571248215044e-05,0.4450876556705528,0.0008687173077856271,245.66666666666666,7.310570733153767,37494.0,3.2145502536643185,37.494,0.0032145502536629973,,
50,1,0.1,40.0,stdp,0.4541397323337151,0.0019083770485795151,3,0.0028217750029095137,3.724110809467858e-05,0.45833726800143876,0.0018931226075210308,244.0,1.0,37406.0,6.3508529610858835,37.406,0.006350852961087491,-0.23470170928510595,0.021545889966775398
50,1,0.2,10.0,static,0.44246515566677164,0.0019090192411023432,3,0.002368467001360841,5.580009610606493e-05,0.4462962783339511,0.00209940768516751,487.0,9.073771725877465,34899.666666666664,2.962731472438666,34.89966666666667,0.0029627314724394857,,
50,1,0.2,10.0,stdp,0.46645653366673895,0.008285375821145117,3,0.003059840004425496,9.096438346125944e-05,0.4709303723308646,0.008270648871717544,488.6666666666667,13.531855420122955,34720.333333333336,7.796010375683802,34.720333333333336,0.007796010375686696,-0.5138515358276999,0.025937940491592232
50,1,0.2,20.0,static,0.4438889913338547,0.0006632722210003425,3,0.002279136999277398,1.54816426177113e-05,0.44752649300304864,0.0006940280826036301,507.0,6.027713773341708,35866.666666666664,8.089774066341603,35.86666666666667,0.008089774066341704,,
50,1,0.2,20.0,stdp,0.465839227331647,0.0031166885685645586,3,0.003016395668964833,2.2178608153478636e-05,0.47019392566774815,0.0031220549197774282,504.3333333333333,10.333333333333337,35646.333333333336,6.0092521257727265,35.64633333333334,0.0060092521257718735,-0.6143094968193371,0.007319693851137891
