n_neurons,n_cores,conn_prob,firing_rate,learning_rule,T_simulate,T_simulate_sem,T_1core,speedup,speedup_sem,efficiency,efficiency_sem
50,4,0.1,10.0,stdp,0.3082476403360488,0.0009642751716448921,0.448504431003433,1.455013347432206,0.004749605153541057,0.3637533368580515,0.0011874012883852643
50,8,0.1,10.0,stdp,0.4122353036655113,0.00083937848666718,0.448504431003433,1.08798161393608,0.0024366177029947634,0.13599770174201,0.0003045772128743454
50,1,0.1,20.0,static,0.4397387213345307,0.0007177898845234277,0.4397387213345307,1.0,0.002308434850919137,1.0,0.002308434850919137
50,2,0.1,20.0,static,0.3483695963320012,0.001263606443077877,0.4397387213345307,1.2622764040391556,0.005020786017706878,0.6311382020195778,0.002510393008853439
50,4,0.1,20.0,static,0.3024926983343903,0.001976562499806729,0.4397387213345307,1.4537168128548408,0.009790849203286885,0.3634292032137102,0.002447712300821721
50,8,0.1,20.0,static,0.4088244429973808,0.0027152050568157895,0.4397387213345307,1.0756174902618236,0.007356301859490212,0.13445218628272795,0.0009195377324362765
50,1,0.1,20.0,stdp,0.45491282000148203,0.006458288356226788,0.45491282000148203,1.0,0.02007725124796969,1.0,0.02007725124796969
50,2,0.1,20.0,stdp,0.35328868133365177,0.0012674118729881767,0.45491282000148203,1.2876518383895088,0.01885510728982399,0.6438259191947544,0.009427553644911995
50,4,0.1,20.0,stdp,0.305743017665615,0.0017718323926554026,0.45491282000148203,1.4878927521380423,0.022815368522160602,0.37197318803451057,0.0057038421305401505
50,8,0.1,20.0,stdp,0.4098133609998816,0.0008982839408254595,0.45491282000148203,1.1100487765737181,0.015945825931378443,0.13875609707171477,0.0019932282414223054
50,1,0.1,40.0,static,0.441505833339761,0.0008772377932992335,0.441505833339761,1.0,0.0028099324879255136,1.0,0.0028099324879255136
50,2,0.1,40.0,static,0.3524852239982768,0.0028818096746350223,0.441505833339761,1.2525513221000135,0.01053854700426958,0.6262756610500068,0.00526927350213479
50,4,0.1,40.0,static,0.3118807063389492,0.00896609738724729,0.441505833339761,1.4156240651191048,0.040794129160315426,0.3539060162797762,0.010198532290078857
50,8,0.1,40.0,static,0.4081705076629684,0.0005998195389157466,0.441505833339761,1.0816700987723444,0.0026731445116655456,0.13520876234654305,0.0003341430639581932
50,1,0.1,40.0,stdp,0.4541397323337151,0.0019083770485795151,0.4541397323337151,1.0,0.005942780408914967,1.0,0.005942780408914967
50,2,0.1,40.0,stdp,0.35540162066657405,0.0015582830939663438,0.4541397323337151,1.2778212195035932,0.0077603597485730825,0.6389106097517966,0.0038801798742865413
50,4,0.1,40.0,stdp,0.30804928433402284,0.0007490037156953388,0.4541397323337151,1.4742437506892045,0.007157332054585911,0.36856093767230114,0.0017893330136464778
50,8,0.1,40.0,stdp,0.4100425180028348,0.00015963131649235124,0.4541397323337151,1.1075430288196977,0.004674025441495574,0.1384428786024622,0.0005842531801869467
50,1,0.2,10.0,static,0.44246515566677164,0.0019090192411023432,0.44246515566677164,1.0,0.006101635048594347,1.0,0.006101635048594347
50,2,0.2,10.0,static,0.34820253332630574,0.0006982396732336125,0.44246515566677164,1.270712052092197,0.006045715976528916,0.6353560260460985,0.003022857988264458
50,4,0.2,10.0,static,0.3060363013355527,0.0004125639358674873,0.44246515566677164,1.445793043948835,0.006535291144302768,0.3614482609872087,0.001633822786075692
